UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10001,L50000,L,297.5,308.6,1461,45.5,181,0,0,0,0,0,0
10002,M20001,M,298.8,308.2,1374,46.9,233,0,0,0,0,0,0
10003,H10002,H,299.6,308.4,1484,39.6,201,0,0,0,0,0,0
10004,L50003,L,300.6,310.3,1532,24.1,241,1,0,0,1,0,0
10005,L50004,L,299.8,307.7,1534,34.3,199,0,0,0,0,0,0
10006,L50005,L,300.4,309.6,1496,47.0,168,0,0,0,0,0,0
10007,M20006,M,300.3,309.1,1269,22.3,201,0,0,0,0,0,0
10008,L50007,L,301.5,311.5,1652,36.8,194,0,0,0,0,0,0
10009,H10008,H,300.9,312.0,1485,41.8,177,0,0,0,0,0,0
10010,M20009,M,298.6,311.7,1406,43.0,46,0,0,0,0,0,0
10011,L50010,L,301.7,313.6,1891,40.8,117,0,0,0,0,0,0
10012,M20011,M,301.3,310.5,1480,36.0,215,0,0,0,0,0,0
10013,L50012,L,301.7,310.0,1292,23.9,7,0,0,0,0,0,0
10014,M20013,M,298.7,308.7,1462,42.3,108,0,0,0,0,0,0
10015,L50014,L,296.6,306.8,1628,39.5,221,0,0,0,0,0,0
10016,L50015,L,301.1,311.6,1706,44.8,158,0,0,0,0,0,0
10017,M20016,M,298.7,306.8,1271,42.9,240,0,0,0,0,0,0
10018,H10017,H,297.1,306.1,1593,33.1,220,0,0,0,0,0,0
10019,L50018,L,298.7,308.6,1443,40.1,66,0,0,0,0,0,0
10020,L50019,L,301.7,313.7,1537,36.7,64,0,0,0,0,0,0
10021,M20020,M,301.5,313.7,1927,49.4,81,0,0,0,0,0,0
10022,H10021,H,302.7,311.6,1468,45.1,188,0,0,0,0,0,0
10023,L50022,L,301.4,309.5,1489,43.3,54,0,0,0,0,0,0
10024,L50023,L,299.6,311.3,1575,27.1,235,0,0,0,0,0,0
10025,H10024,H,301.0,311.5,1741,37.5,114,0,0,0,0,0,0
10026,H10025,H,299.7,309.9,1406,39.8,42,0,0,0,0,0,0
10027,L50026,L,297.3,308.9,1510,12.0,110,0,0,0,0,0,0
10028,L50027,L,302.4,313.7,1354,30.7,200,0,0,0,0,0,0
10029,L50028,L,299.2,310.4,1618,40.7,191,0,0,0,0,0,0
10030,L50029,L,303.5,312.8,1726,48.4,26,0,0,0,0,0,0
10031,L50030,L,302.0,311.7,1382,40.5,25,0,0,0,0,0,0
10032,H10031,H,297.2,305.8,1722,23.1,47,0,0,0,0,0,0
10033,L50032,L,301.2,311.9,1287,30.8,108,0,0,0,0,0,0
10034,M20033,M,300.1,310.4,1781,41.8,20,0,0,0,0,0,0
10035,L50034,L,300.1,310.4,1454,35.3,23,0,0,0,0,0,0
10036,L50035,L,298.6,311.1,1252,38.2,56,0,0,0,0,0,0
10037,L50036,L,300.3,309.9,1431,26.8,10,0,0,0,0,0,0
10038,M20037,M,303.6,312.2,1263,45.5,223,0,0,0,0,0,0
10039,H10038,H,298.4,308.6,1332,28.0,223,0,0,0,0,0,0
10040,L50039,L,297.3,308.0,1443,37.3,38,0,0,0,0,0,0
10041,H10040,H,299.6,310.5,1580,48.7,16,0,0,0,0,0,0
10042,L50041,L,301.6,309.0,1489,38.9,242,0,0,0,0,0,0
10043,M20042,M,300.3,307.9,1539,37.5,100,0,0,0,0,0,0
10044,M20043,M,300.3,309.2,1610,29.1,94,0,0,0,0,0,0
10045,L50044,L,301.2,310.2,1606,47.2,93,0,0,0,0,0,0
10046,M20045,M,299.7,309.7,1314,41.0,57,0,0,0,0,0,0
10047,L50046,L,300.4,309.8,1542,26.5,200,0,0,0,0,0,0
10048,L50047,L,299.3,310.1,1617,41.7,153,0,0,0,0,0,0
10049,L50048,L,302.1,311.0,1384,42.2,186,0,0,0,0,0,0
10050,L50049,L,303.8,313.4,1588,29.9,9,0,0,0,0,0,0
10051,M20050,M,295.3,305.7,1540,45.4,222,0,0,0,0,0,0
10052,M20051,M,299.9,309.8,1174,21.7,20,0,0,0,0,0,0
10053,L50052,L,302.1,309.9,1463,28.8,198,0,0,0,0,0,0
10054,L50053,L,298.4,309.9,1592,39.9,199,0,0,0,0,0,0
10055,L50054,L,303.1,312.9,1596,27.1,145,0,0,0,0,0,0
10056,H10055,H,298.3,307.9,1723,25.1,19,0,0,0,0,0,0
10057,H10056,H,299.5,306.7,1344,15.9,41,1,0,0,1,0,0
10058,L50057,L,304.2,313.8,1446,44.2,128,0,0,0,0,0,0
10059,H10058,H,300.8,312.8,1461,46.3,206,0,0,0,0,0,0
10060,L50059,L,298.6,310.5,1643,49.3,19,0,0,0,0,0,0
10061,L50060,L,300.9,311.4,1508,45.7,52,0,0,0,0,0,0
10062,M20061,M,297.1,305.7,1374,49.5,228,0,0,0,0,0,0
10063,L50062,L,298.4,309.4,1253,45.2,221,0,0,0,0,0,0
10064,H10063,H,301.6,312.7,1782,39.4,76,0,0,0,0,0,0
10065,M20064,M,300.6,311.3,1912,34.5,59,0,0,0,0,0,0
10066,H10065,H,298.9,308.7,1578,34.6,70,0,0,0,0,0,0
10067,H10066,H,300.9,311.5,1715,29.9,157,0,0,0,0,0,0
10068,L50067,L,299.5,308.6,1562,21.0,71,0,0,0,0,0,0
10069,L50068,L,300.3,310.4,1565,40.9,135,0,0,0,0,0,0
10070,M20069,M,302.9,313.8,1512,37.7,229,0,0,0,0,0,0
10071,M20070,M,300.7,312.9,1953,45.3,5,0,0,0,0,0,0
10072,L50071,L,302.1,313.5,1699,44.9,105,0,0,0,0,0,0
10073,M20072,M,301.5,313.8,1400,36.4,161,0,0,0,0,0,0
10074,M20073,M,301.2,310.5,1628,18.3,130,0,0,0,0,0,0
10075,M20074,M,298.7,307.1,1599,63.3,229,0,0,0,0,0,0
10076,L50075,L,300.9,310.3,1572,43.9,59,0,0,0,0,0,0
10077,L50076,L,299.1,309.5,1706,57.5,169,0,0,0,0,0,0
10078,M20077,M,301.8,310.1,1617,37.3,219,0,0,0,0,0,0
10079,L50078,L,299.9,309.3,1800,52.1,159,0,0,0,0,0,0
10080,L50079,L,302.3,309.3,1644,32.7,231,0,0,0,0,0,0
10081,M20080,M,300.7,311.8,1266,49.8,142,0,0,0,0,0,0
10082,L50081,L,303.8,312.4,1494,49.1,240,0,0,0,0,0,0
10083,L50082,L,301.4,311.4,1291,36.9,67,0,0,0,0,0,0
10084,L50083,L,299.1,310.9,1481,27.3,226,0,0,0,0,0,0
10085,L50084,L,296.5,305.7,1586,39.6,122,0,0,0,0,0,0
10086,L50085,L,300.4,310.0,1710,43.3,120,0,0,0,0,0,0
10087,L50086,L,300.9,310.7,1828,30.0,164,0,0,0,0,0,0
10088,L50087,L,301.6,308.7,1219,39.0,209,0,0,0,0,0,0
10089,L50088,L,300.6,310.1,1358,37.4,200,0,0,0,0,0,0
10090,L50089,L,300.7,313.8,1938,43.8,216,1,0,0,1,0,0
10091,L50090,L,300.3,309.9,1459,47.1,115,0,0,0,0,0,0
10092,L50091,L,303.6,313.8,1546,38.4,73,0,0,0,0,0,0
10093,M20092,M,299.1,309.4,1394,58.6,96,0,0,0,0,0,0
10094,M20093,M,296.6,306.9,1227,40.7,202,0,0,0,0,0,0
10095,L50094,L,300.2,310.5,1348,47.8,173,0,0,0,0,0,0
10096,L50095,L,301.3,310.0,1309,24.1,216,1,1,0,0,0,0
10097,L50096,L,304.5,313.8,1318,21.1,253,0,0,0,0,0,0
10098,M20097,M,299.3,309.0,1586,37.9,185,0,0,0,0,0,0
10099,L50098,L,301.9,313.8,1333,53.2,222,0,0,0,0,0,0
10100,M20099,M,299.8,309.4,1729,44.0,81,0,0,0,0,0,0
10101,L50100,L,299.1,309.5,1309,44.2,188,0,0,0,0,0,0
10102,L50101,L,302.2,313.8,1422,25.8,89,0,0,0,0,0,0
10103,M20102,M,304.5,313.8,1612,42.9,87,0,0,0,0,0,0
10104,L50103,L,297.3,308.9,1531,24.4,89,1,0,0,1,0,0
10105,L50104,L,297.9,308.8,1448,66.2,224,1,0,0,0,1,0
10106,H10105,H,299.5,310.7,1525,33.5,89,0,0,0,0,0,0
10107,H10106,H,300.2,308.9,1473,50.9,194,0,0,0,0,0,0
10108,L50107,L,299.8,310.5,1613,27.9,46,0,0,0,0,0,0
10109,L50108,L,302.2,313.3,1783,41.7,149,0,0,0,0,0,0
10110,L50109,L,298.8,306.2,1586,44.6,2,0,0,0,0,0,0
10111,L50110,L,299.2,308.5,1708,33.5,97,0,0,0,0,0,0
10112,M20111,M,301.4,311.0,1598,43.1,178,0,0,0,0,0,0
